genero;asistentes;precioTicket;diaSemana;duracion
cultural;163;3.003751119936957;Sábado;3.0
deportivo;103;2.0731662506145727;Viernes;1.0
academico;14;4.982433310920914;Sábado;3.0
cultural;109;5.089350901260077;Viernes;3.0
networking;103;0.9755345572244255;Viernes;1.0
cultural;103;4.945619806724722;Sábado;1.5
cultural;105;3.066463286210996;Jueves;2.0
networking;103;1.026671556726261;Viernes;1.0
academico;99;1.928950858608333;Miércoles;1.5
deportivo;103;1.9526185040455601;Viernes;1.0
academico;103;3.1067614128344117;Sábado;2.0
cultural;155;3.052901335412955;Jueves;3.0
academico;190;2.9108207116812235;Miércoles;2.0
cultural;172;2.898992025727464;Sábado;3.0
cultural;46;2.050741217319031;Sábado;2.0
cultural;195;1.9085104368111294;Viernes;3.0
cultural;200;3.0996429598593336;Viernes;2.0
cultural;122;0.9814177954005665;Viernes;2.0
cultural;99;2.971630243994579;Viernes;2.0
cultural;110;2.0932959420908737;Jueves;1.5
cultural;96;2.9752905207814386;Sábado;3.0
networking;52;2.0789852222467937;Miércoles;1.0
cultural;53;1.9506833565920954;Sábado;2.0
academico;105;1.955880056609214;Viernes;2.0
cultural;106;2.885022199931268;Jueves;2.0
deportivo;53;1.9555932454172975;Viernes;1.5
networking;95;0.9653505536311682;Martes;3.0
cultural;149;0.972770604028199;Viernes;1.5
deportivo;30;1.039479147706459;Viernes;1.5
academico;101;2.886896632456056;Sábado;2.0
cultural;99;3.0830696176462427;Viernes;1.5
deportivo;24;0.9576990346056011;Viernes;1.5
cultural;147;1.0495409613372413;Viernes;1.5
academico;112;2.994529607630805;Miércoles;1.5
academico;99;2.088354391561645;Viernes;2.0
networking;54;3.096570316293824;Martes;1.5
deportivo;96;2.9709091551164337;Viernes;1.5
cultural;145;1.9911785251803087;Viernes;1.5
cultural;152;5.157284334396735;Viernes;1.5
cultural;106;3.125382444094891;Viernes;1.0
deportivo;30;0.9868639712434175;Viernes;1.5
networking;49;1.9889427381456473;Miércoles;1.0
deportivo;51;2.964717229958706;Viernes;1.5
cultural;103;1.9562780454874633;Jueves;1.5
cultural;105;3.0090091149968146;Viernes;2.0
cultural;102;2.85763579660547;Viernes;2.0
deportivo;51;2.920910158763463;Viernes;1.5
networking;169;2.0926817393173875;Sábado;2.0
cultural;100;2.9822520336314104;Jueves;2.0
academico;54;2.92293148712195;Sábado;1.5
cultural;103;2.869751003814021;Sábado;2.0
cultural;192;1.9905476103323139;Viernes;3.0
academico;111;3.11789158468836;Miércoles;1.5
networking;180;3.1342562491224544;Sábado;3.0
academico;102;2.091577153147393;Miércoles;1.5
cultural;152;2.056640641891666;Viernes;2.0
academico;156;3.0041259444249437;Miércoles;1.5
cultural;106;2.85760167786464;Viernes;1.0
deportivo;101;3.0624102215251847;Miércoles;1.5
cultural;156;1.9669095616176537;Viernes;2.0
cultural;155;2.0007753419043874;Viernes;2.0
networking;98;0.9749314087497858;Viernes;1.0
cultural;137;5.028551537294729;Viernes;1.0
academico;155;2.9876725600083653;Miércoles;1.5
deportivo;48;2.01573027409049;Sábado;1.5
cultural;101;3.0428042539674998;Jueves;1.5
academico;45;2.872056424954053;Sábado;1.5
academico;97;4.848409713295465;Sábado;2.0
cultural;52;2.0032385074165098;Sábado;2.0
academico;49;5.1985067724990754;Sábado;2.0
deportivo;22;5.2477235525159704;Viernes;3.0
networking;100;1.0482427917011703;Viernes;1.0
networking;96;2.997103182755356;Viernes;1.0
academico;143;5.141929446152166;Sábado;3.0
cultural;104;2.8929829714228967;Viernes;2.0
networking;54;1.0220659615851733;Sábado;1.5
academico;50;4.973609571823686;Sábado;2.0
academico;46;2.9313878540560863;Lunes;1.5
cultural;170;2.0389930381060752;Viernes;3.0
cultural;192;1.9046598719857573;Viernes;3.0
cultural;102;2.8854598926276056;Viernes;1.5
academico;142;5.028172643195278;Sábado;3.0
deportivo;99;1.9614779803935767;Viernes;1.0
deportivo;28;1.0204670238114815;Viernes;1.5
cultural;47;2.037671976075463;Sábado;2.0
deportivo;49;1.9220017237135854;Sábado;1.5
deportivo;103;5.100808716403229;Viernes;3.0
cultural;102;2.929812378427574;Viernes;2.0
deportivo;99;1.900478672484909;Viernes;1.0
networking;101;3.0767664532995482;Viernes;1.0
cultural;202;2.9058732512627556;Viernes;2.0
deportivo;183;0.9578999873768902;Viernes;1.0
academico;13;4.930699294492116;Sábado;3.0
cultural;104;5.171240492748941;Sábado;2.0
networking;45;0.961522163884306;Sábado;1.5
networking;47;3.0759633526517396;Martes;1.5
cultural;118;1.0493652724326912;Viernes;2.0
deportivo;108;3.0716204511082563;Viernes;2.0
academico;194;4.982781078205291;Viernes;1.5
deportivo;162;3.0115672013771118;Viernes;1.5
cultural;103;3.044547575744822;Jueves;2.0
deportivo;178;1.0496374830491486;Viernes;1.0
networking;54;0.953490918566565;Sábado;1.5
deportivo;98;3.0065566008688487;Miércoles;1.5
academico;101;2.031670133175884;Viernes;2.0
deportivo;25;1.0293260501416694;Domingo;3.0
deportivo;110;5.117710374678031;Viernes;3.0
deportivo;110;5.009489403904546;Viernes;3.0
academico;141;5.2379605513332965;Sábado;3.0
deportivo;98;2.9724722613904113;Miércoles;1.5
cultural;103;2.971748536448736;Jueves;2.0
cultural;201;2.8874605753569322;Viernes;2.0
cultural;99;3.092447925062158;Sábado;3.0
cultural;151;1.9078239698492108;Viernes;1.5
deportivo;111;3.1230296395164334;Viernes;2.0
cultural;153;2.9466460780900605;Jueves;3.0
cultural;103;4.839269448846251;Viernes;3.0
networking;48;0.9695539100621443;Sábado;1.5
cultural;114;2.898255075413126;Viernes;2.0
deportivo;163;2.9211103114590347;Viernes;1.5
cultural;98;2.9476466336578744;Sábado;3.0
cultural;134;5.154909870216349;Viernes;2.0
academico;107;2.9763782868542816;Miércoles;1.5
deportivo;25;0.9915450528584131;Domingo;3.0
academico;105;1.9633608659114958;Viernes;2.0
academico;108;3.107366618348501;Miércoles;1.5
cultural;100;2.991888714221246;Sábado;3.0
cultural;95;3.0255900098303226;Sábado;3.0
academico;103;4.95446358183403;Sábado;2.0
deportivo;178;0.9528361181948377;Viernes;1.0
academico;31;1.0093021510980895;Jueves;1.0
networking;45;0.9989108068400311;Sábado;1.5
cultural;109;2.8952613540247287;Viernes;2.0
deportivo;193;2.8996053672663322;Sábado;1.5
cultural;171;1.0054421352452623;Viernes;2.0
academico;111;2.9434419191014;Miércoles;1.5
cultural;124;1.0028972390699011;Viernes;2.0
cultural;103;2.8906252212498194;Jueves;2.0
deportivo;189;3.0797259035910693;Sábado;1.5
networking;95;0.953424647228932;Viernes;1.5
deportivo;99;4.942793832994448;Jueves;2.0
cultural;103;2.8677384300168356;Jueves;2.0
academico;141;4.921075553919657;Sábado;3.0
cultural;101;2.880254589155264;Sábado;3.0
cultural;110;3.068224783596642;Viernes;2.0
deportivo;49;2.8664280818993255;Viernes;1.5
academico;54;2.9851923030710594;Sábado;1.5
cultural;174;2.033059154458798;Viernes;3.0
cultural;100;4.95767510303755;Sábado;1.5
academico;100;1.9627998916716303;Viernes;2.0
academico;101;2.061387640971354;Miércoles;1.5
cultural;54;2.9121807169307905;Jueves;2.0
networking;96;0.9528831912761498;Martes;3.0
academico;100;3.1408470075199135;Sábado;2.0
cultural;45;2.9976645958704196;Viernes;3.0
academico;98;2.0654606615412714;Miércoles;1.5
academico;101;2.0997387725948204;Viernes;2.0
academico;52;5.01703614684899;Sábado;2.0
deportivo;164;2.8938296959216774;Viernes;1.5
networking;104;5.207039492468199;Sábado;3.0
academico;48;5.191473934971594;Sábado;2.0
deportivo;165;3.0066017640948575;Viernes;1.5
cultural;111;2.939216796842905;Viernes;1.0
networking;52;1.9812033341390738;Miércoles;1.0
networking;106;5.146954496749347;Lunes;1.0
academico;108;2.083087125537463;Viernes;2.0
deportivo;98;2.904506560394689;Viernes;1.0
cultural;120;3.0511877667957474;Viernes;3.0
cultural;173;1.000980352615316;Viernes;2.0
deportivo;96;5.017267084964402;Jueves;2.0
deportivo;52;2.9467468800397527;Viernes;1.5
cultural;175;1.9864977810789;Viernes;3.0
academico;97;1.988612734077866;Viernes;1.0
cultural;193;2.0611293198106164;Viernes;3.0
academico;163;2.9248759660868098;Miércoles;1.5
cultural;173;0.9836048857585397;Viernes;2.0
deportivo;96;3.1204313616535826;Miércoles;1.5
cultural;198;2.056739005976869;Viernes;3.0
academico;12;5.028485389556509;Sábado;3.0
cultural;147;0.9583168283144471;Viernes;1.5
cultural;95;4.991810221405614;Sábado;1.5
networking;165;1.903081126701516;Sábado;2.0
academico;96;5.2333209293997385;Sábado;2.0
cultural;142;4.760375979622353;Viernes;2.0
academico;183;4.878123388822978;Viernes;1.0
cultural;163;2.980741124458162;Sábado;3.0
academico;52;3.0380031586555187;Lunes;1.5
deportivo;50;1.9140578925897291;Viernes;1.5
academico;185;4.754477335439974;Viernes;1.0
cultural;102;2.985473661230696;Viernes;1.0
academico;108;1.9345369426264407;Viernes;2.0
cultural;196;2.976697940826874;Viernes;2.0
cultural;106;3.130321519276747;Viernes;1.0
networking;47;1.0226367139335204;Sábado;1.5
networking;51;0.9706941630476408;Sábado;1.5
deportivo;45;3.0793791656628926;Viernes;1.5
deportivo;48;1.9777003038297778;Viernes;1.5
academico;99;2.035054201596975;Miércoles;1.5
networking;105;3.1026575340732716;Martes;2.0
networking;99;0.9851208136945371;Viernes;1.0
academico;12;4.873501077069246;Sábado;3.0
cultural;140;4.804064150597013;Viernes;1.0
deportivo;160;3.0331076052908075;Viernes;1.5
academico;104;2.0260817926180277;Viernes;1.0
cultural;97;3.031180274826829;Viernes;1.5
networking;99;0.9982153911112023;Martes;3.0
academico;33;1.021222491404846;Jueves;1.0
academico;193;2.9491581960655227;Miércoles;2.0
academico;181;4.775388076402312;Viernes;1.0
networking;104;3.0498033167286995;Martes;2.0
cultural;103;3.050842786618425;Viernes;1.5
cultural;123;1.0305672424915218;Viernes;2.0
cultural;52;2.987602630417703;Viernes;2.0
cultural;100;2.986535289752397;Viernes;1.5
cultural;95;3.0897142684541623;Sábado;3.0
cultural;121;3.0301977409052494;Viernes;3.0
deportivo;46;1.9822267548338568;Viernes;1.5
cultural;53;3.0832076555441716;Jueves;2.0
academico;53;5.174786148434678;Sábado;2.0
cultural;100;2.9666582558583388;Viernes;1.5
cultural;111;2.856346230908026;Viernes;1.0
academico;101;2.9804165671960576;Sábado;2.0
deportivo;45;3.0744911068284715;Viernes;1.5
cultural;53;2.962422538364474;Jueves;2.0
cultural;136;5.205348958339346;Viernes;1.0
deportivo;183;1.0065796344044926;Viernes;1.0
deportivo;164;2.9017831130907625;Viernes;1.5
cultural;153;1.9511051170407372;Viernes;1.5
academico;96;2.9984157453920073;Sábado;2.0
networking;52;0.9537195888122905;Sábado;1.5
cultural;28;2.968831413862015;Jueves;1.5
cultural;149;0.9758909543638702;Viernes;1.5
academico;109;2.0374261210257925;Viernes;2.0
deportivo;181;1.0347331016187187;Viernes;1.0
cultural;101;3.149651604374009;Sábado;3.0
cultural;110;4.940016269210707;Viernes;3.0
networking;186;3.1498430955463323;Sábado;3.0
networking;104;4.927571069490714;Lunes;1.0
cultural;158;5.144117513697648;Viernes;1.5
deportivo;15;4.823768166941646;Viernes;3.0
academico;103;1.9946543966186177;Miércoles;1.5
cultural;121;1.0078877534164554;Viernes;2.0
deportivo;95;2.895538635831588;Viernes;1.5
cultural;101;4.947535362258737;Sábado;2.0
cultural;49;2.887002258129681;Viernes;2.0
cultural;103;2.954956136494507;Sábado;2.0
cultural;100;3.019750192504699;Jueves;1.5
cultural;156;5.209081402205471;Viernes;1.5
academico;96;2.0605729439645284;Miércoles;1.5
cultural;113;2.9216105430773425;Viernes;2.0
networking;103;2.894011185259432;Viernes;1.0
cultural;52;2.884548527692629;Jueves;2.0
cultural;96;4.88725627982478;Sábado;1.5
cultural;147;0.9545092708289427;Viernes;1.5
cultural;171;1.0318540940968797;Viernes;2.0
deportivo;47;1.9313623366897739;Sábado;1.5
cultural;199;3.0859679358088283;Viernes;2.0
networking;95;1.0422907670766415;Viernes;1.0
deportivo;26;1.0261173930515743;Viernes;1.5
academico;143;5.102796546211711;Sábado;3.0
academico;103;2.0187366241600126;Viernes;2.0
networking;186;3.108482957615708;Sábado;3.0
academico;198;5.043333336895206;Viernes;3.0
networking;103;2.932376300284823;Viernes;1.0
deportivo;193;3.091556291591208;Sábado;1.5
networking;46;0.9849136041540643;Sábado;1.5
academico;99;1.9853954765616464;Miércoles;1.5
cultural;96;2.8961580618478138;Jueves;1.5
cultural;47;3.103006970383755;Viernes;3.0
cultural;136;5.125196651935767;Viernes;2.0
deportivo;30;1.038870827630344;Viernes;1.5
networking;104;3.131598407324466;Martes;2.0
deportivo;27;1.018753978093028;Viernes;1.5
academico;20;0.9515984800350267;Lunes;1.0
deportivo;54;3.147517712089418;Viernes;1.5
cultural;99;2.946593622200034;Viernes;2.0
cultural;101;5.116088543467935;Sábado;1.5
